1,0,12
1,1,6
2,0,24
2,1,12
3,0,36
3,1,18
4,0,48
4,1,24
5,1,30
5,0,60
6,1,36
6,0,72
7,1,42
7,0,84
8,1,48
8,0,96
9,1,54
9,0,108
10,1,60
10,0,120
11,1,66
11,0,132
12,0,72
12,1,156
13,0,78
1,31,168
14,0,84
14,1,180
15,0,90
15,1,192
16,0,96
16,1,204
17,0,102
17,1,204
18,0,108
18,1,228
19,0,114
20,1,240
21,0,120
21,1,252
22,0,132
22,1,264
23,0,138
23,1,276
24,0,144
24,1,288
25,0,150
25,1,300
26,0,156
26,1,312
27,0,162
27,1,324
28,0,168
28,1,336
29,0,174
29,1,348
30,0,180
30,1,360
30,0,186
31,1,372
31,0,192
32,1,384
32,0,198
33,1,396
33,0,204
34,1,408
34,0,210
35,1,420
35,0,216
36,1,432
36,0,222
37,1,444
37,0,228
40,1,456
40,0,234
40,1,468
41,0,240
42,1,480
41,0,246
41,1,492
42,0,252
42,1,504
43,0,258
43,1,516
44,0,264
44,1,528
45,0,270
45,1,540
46,0,276
46,1,552
47,0,282
47,1,564
48,0,288
48,1,576
49,0,294
49,1,588
50,0,300
50,1,600
51,0,306
51,1,612
52,0,312
52,1,624
53,0,318
53,1,636
54,0,324
54,1,648
55,0,330
55,1,660
56,0,336
56,1,672
57,0,342
57,1,684
58,0,348
58,1,696
59,0,354
59,1,708
60,0,360
60,1,720
61,0,366
61,1,732
62,0,372
62,1,744
63,0,378
63,1,756
64,0,384
64,1,768
65,0,390
65,1,780
66,0,396
66,1,792
67,0,402
67,1,804
68,0,408
68,1,816
69,0,414
69,1,828
70,0,420
70,1,840
71,0,426
71,1,852
72,0,432
72,1,864
73,0,438
73,1,876
74,0,444
74,1,888
75,0,450
75,1,900
76,0,456
76,1,912
77,0,462
77,1,924
78,0,468
79,1,936
79,0,474
80,1,948
81,0,480
81,1,960
82,0,486
82,1,972
83,0,492
83,1,984
84,0,498
84,1,996
85,0,504
85,1,1008
86,0,510
86,1,1020
87,0,516
87,1,1032
88,0,522
88,1,1044
89,0,528
89,1,1056
90,0,534
90,1,1068
91,0,540
91,1,1080
92,0,546
92,1,1092
93,0,552
93,1,1104
94,0,558
94,1,1116
95,0,564
95,1,1128
96,0,570
96,1,1140
97,0,576
97,1,1152
98,0,582
98,1,1164
99,0,588
99,1,1176
100,0,594
100,1,1188
101,0,600
101,1,1200
102,0,606
102,1,1212
103,0,612
103,1,1224
104,0,618
104,1,1236
105,0,624
105,1,1248
106,0,630
106,1,1260
107,0,636
107,1,1272
108,0,642
108,1,1284
109,0,648
109,1,1296
110,0,654
110,1,1308
111,0,660
111,1,1320
112,0,666
112,1,1332
113,0,672
113,1,1344
114,0,678
114,1,1356
115,0,684
116,1,1368
116,0,690
117,1,1380
118,0,696
119,1,1392
119,0,702
120,1,1404
120,0,708
121,1,1416
121,0,714
122,1,1428
122,0,720
123,1,1440
123,0,726
124,1,1452
124,0,732
125,1,1464
125,0,738
126,1,1476
126,0,744
127,1,1488
127,0,750
128,1,1500
128,0,756
129,1,1512
129,0,762
130,1,1524
130,0,768
131,1,1536
131,0,774
132,1,1548
132,0,780
133,1,1560
133,0,786
134,1,1572
347,1,3132
347,0,1572
348,1,3144
348,0,1578
349,1,3156
349,0,1584
350,1,3168
350,0,1590
351,1,3180
351,0,1596
352,1,3192
352,0,1602
353,1,3204
353,0,1608
354,1,3216
354,0,1614
355,1,3228
355,0,1620
356,1,3240
356,0,1626
357,1,3252
357,0,1632
358,1,3264
358,0,1638
359,1,3276
359,0,1644
360,1,3288
360,0,1650
361,1,3300
361,0,1656
362,1,3312
362,0,1662
363,1,3324
363,0,1668
364,1,3336
364,0,1674
365,1,3348
365,0,1680
366,1,3360
366,0,1686
367,1,3372
367,0,1692
368,1,3384
368,0,1698
369,1,3396
369,0,1704
370,1,3408
371,0,1710
371,1,3420
372,0,1716
372,1,3432
373,0,1722
373,1,3444
374,0,1728
374,1,3456
375,0,1734
375,1,3468
376,0,1740
376,1,3480
377,0,1746
378,1,3492
379,0,1752
379,1,3504
380,0,1758
381,1,3516
381,0,1764
382,1,3528
382,0,1770
383,1,3540
383,0,1776
384,1,3552
385,0,1786
385,1,3564
386,0,1788
387,1,3576
387,0,1794
388,1,3588
388,0,1800
389,1,3600
389,0,1806
390,1,3612
391,0,1812
391,1,3624
392,0,1818
392,1,3636
393,0,1824
393,1,3648
394,0,1830
394,1,3660
395,0,1836
395,1,3672
396,0,1842
